Id,Label,group_code
6,EPP,EPP
7,EPP,EPP
8,EPP,EPP
9,GREEN_EFA,GREEN_EFA
10,EPP,EPP
12,EPP,EPP
13,EPP,EPP
17,EPP,EPP
18,RENEW,RENEW
20,ECR,ECR
28,EPP,EPP
31,EPP,EPP
33,RENEW,RENEW
35,ECR,ECR
37,EPP,EPP
38,ECR,ECR
42,GUE_NGL,GUE_NGL
46,EPP,EPP
52,GREEN_EFA,GREEN_EFA
53,EPP,EPP
54,EPP,EPP
55,EPP,EPP
56,EPP,EPP
57,EPP,EPP
58,RENEW,RENEW
59,EPP,EPP
60,EPP,EPP
61,EPP,EPP
62,ECR,ECR
63,SD,SD
66,SD,SD
67,ECR,ECR
68,ECR,ECR
69,ECR,ECR
70,EPP,EPP
71,EPP,EPP
72,EPP,EPP
75,GUE_NGL,GUE_NGL
76,ECR,ECR
77,EPP,EPP
78,GREEN_EFA,GREEN_EFA
80,GUE_NGL,GUE_NGL
82,EPP,EPP
83,SD,SD
85,ID,ID
88,SD,SD
90,EPP,EPP
91,EPP,EPP
92,ID,ID
94,SD,SD
97,RENEW,RENEW
98,RENEW,RENEW
99,EPP,EPP
100,GREEN_EFA,GREEN_EFA
101,GUE_NGL,GUE_NGL
103,ID,ID
104,EPP,EPP
105,GUE_NGL,GUE_NGL
106,GREEN_EFA,GREEN_EFA
108,EPP,EPP
110,ECR,ECR
114,RENEW,RENEW
116,ECR,ECR
117,GREEN_EFA,GREEN_EFA
119,GREEN_EFA,GREEN_EFA
120,GREEN_EFA,GREEN_EFA
121,GREEN_EFA,GREEN_EFA
122,GREEN_EFA,GREEN_EFA
123,EPP,EPP
124,GREEN_EFA,GREEN_EFA
125,GREEN_EFA,GREEN_EFA
126,EPP,EPP
127,EPP,EPP
128,EPP,EPP
129,EPP,EPP
131,RENEW,RENEW
133,EPP,EPP
134,EPP,EPP
135,EPP,EPP
137,ECR,ECR
138,EPP,EPP
141,EPP,EPP
143,GUE_NGL,GUE_NGL
147,SD,SD
151,GUE_NGL,GUE_NGL
153,EPP,EPP
154,GREEN_EFA,GREEN_EFA
155,SD,SD
157,SD,SD
159,EPP,EPP
160,EPP,EPP
172,SD,SD
175,ID,ID
176,GREEN_EFA,GREEN_EFA
180,ID,ID
182,EPP,EPP
183,ID,ID
184,SD,SD
185,GREEN_EFA,GREEN_EFA
187,GREEN_EFA,GREEN_EFA
191,EPP,EPP
194,SD,SD
197,RENEW,RENEW
199,RENEW,RENEW
202,GUE_NGL,GUE_NGL
204,ECR,ECR
206,SD,SD
209,RENEW,RENEW
212,EPP,EPP
213,SD,SD
214,RENEW,RENEW
215,RENEW,RENEW
216,EPP,EPP
218,EPP,EPP
221,SD,SD
222,EPP,EPP
224,SD,SD
225,ID,ID
227,SD,SD
228,ID,ID
229,ID,ID
231,ID,ID
232,ID,ID
234,GREEN_EFA,GREEN_EFA
235,ID,ID
239,SD,SD
240,EPP,EPP
241,EPP,EPP
242,EPP,EPP
243,EPP,EPP
250,EPP,EPP
254,GREEN_EFA,GREEN_EFA
255,SD,SD
256,SD,SD
257,GREEN_EFA,GREEN_EFA
258,SD,SD
259,EPP,EPP
260,SD,SD
261,GREEN_EFA,GREEN_EFA
262,SD,SD
263,RENEW,RENEW
265,SD,SD
267,RENEW,RENEW
268,ECR,ECR
270,ECR,ECR
271,ECR,ECR
272,ECR,ECR
273,ECR,ECR
274,EPP,EPP
276,GREEN_EFA,GREEN_EFA
277,SD,SD
285,GREEN_EFA,GREEN_EFA
286,ID,ID
287,GUE_NGL,GUE_NGL
291,SD,SD
292,GUE_NGL,GUE_NGL
293,ECR,ECR
294,ID,ID
297,EPP,EPP
300,GUE_NGL,GUE_NGL
302,EPP,EPP
303,EPP,EPP
304,RENEW,RENEW
305,SD,SD
307,SD,SD
309,EPP,EPP
311,EPP,EPP
312,EPP,EPP
316,ECR,ECR
321,RENEW,RENEW
322,EPP,EPP
323,EPP,EPP
324,RENEW,RENEW
326,ID,ID
330,RENEW,RENEW
332,GUE_NGL,GUE_NGL
333,GUE_NGL,GUE_NGL
334,ID,ID
335,ID,ID
337,RENEW,RENEW
338,RENEW,RENEW
340,ID,ID
342,ID,ID
343,GREEN_EFA,GREEN_EFA
344,EPP,EPP
345,SD,SD
346,ID,ID
348,GUE_NGL,GUE_NGL
351,EPP,EPP
352,ID,ID
357,GUE_NGL,GUE_NGL
358,ID,ID
359,RENEW,RENEW
360,EPP,EPP
361,EPP,EPP
362,RENEW,RENEW
364,ID,ID
365,GREEN_EFA,GREEN_EFA
366,GREEN_EFA,GREEN_EFA
368,EPP,EPP
369,SD,SD
371,EPP,EPP
373,GREEN_EFA,GREEN_EFA
375,GREEN_EFA,GREEN_EFA
376,ECR,ECR
377,RENEW,RENEW
378,RENEW,RENEW
379,EPP,EPP
381,EPP,EPP
382,EPP,EPP
383,EPP,EPP
384,EPP,EPP
385,EPP,EPP
386,EPP,EPP
387,EPP,EPP
388,EPP,EPP
389,GUE_NGL,GUE_NGL
390,GUE_NGL,GUE_NGL
391,EPP,EPP
392,RENEW,RENEW
396,EPP,EPP
397,GREEN_EFA,GREEN_EFA
398,EPP,EPP
399,EPP,EPP
400,EPP,EPP
402,EPP,EPP
403,RENEW,RENEW
404,GREEN_EFA,GREEN_EFA
405,RENEW,RENEW
410,RENEW,RENEW
412,GREEN_EFA,GREEN_EFA
415,RENEW,RENEW
416,RENEW,RENEW
417,RENEW,RENEW
419,RENEW,RENEW
420,GREEN_EFA,GREEN_EFA
421,GREEN_EFA,GREEN_EFA
422,GREEN_EFA,GREEN_EFA
424,GREEN_EFA,GREEN_EFA
425,EPP,EPP
426,GREEN_EFA,GREEN_EFA
428,GREEN_EFA,GREEN_EFA
430,GREEN_EFA,GREEN_EFA
431,GREEN_EFA,GREEN_EFA
433,GREEN_EFA,GREEN_EFA
434,GREEN_EFA,GREEN_EFA
435,GREEN_EFA,GREEN_EFA
436,ECR,ECR
437,GUE_NGL,GUE_NGL
438,ECR,ECR
439,GREEN_EFA,GREEN_EFA
441,ID,ID
442,EPP,EPP
443,ID,ID
444,ECR,ECR
445,ID,ID
446,ID,ID
447,ID,ID
448,ID,ID
449,ID,ID
450,ID,ID
452,SD,SD
453,EPP,EPP
454,ID,ID
455,RENEW,RENEW
459,SD,SD
461,GREEN_EFA,GREEN_EFA
462,ECR,ECR
464,GREEN_EFA,GREEN_EFA
467,GREEN_EFA,GREEN_EFA
470,EPP,EPP
471,GREEN_EFA,GREEN_EFA
472,GREEN_EFA,GREEN_EFA
473,EPP,EPP
474,EPP,EPP
475,EPP,EPP
476,ECR,ECR
477,EPP,EPP
479,ECR,ECR
480,ECR,ECR
482,SD,SD
484,EPP,EPP
485,RENEW,RENEW
486,GUE_NGL,GUE_NGL
487,RENEW,RENEW
488,GUE_NGL,GUE_NGL
489,ECR,ECR
490,GREEN_EFA,GREEN_EFA
491,ECR,ECR
492,GUE_NGL,GUE_NGL
493,EPP,EPP
494,EPP,EPP
496,ECR,ECR
497,ECR,ECR
498,GREEN_EFA,GREEN_EFA
500,ECR,ECR
502,RENEW,RENEW
503,ECR,ECR
504,ECR,ECR
505,GREEN_EFA,GREEN_EFA
507,EPP,EPP
510,RENEW,RENEW
511,ECR,ECR
512,ECR,ECR
514,RENEW,RENEW
517,RENEW,RENEW
518,ECR,ECR
519,RENEW,RENEW
521,ECR,ECR
522,RENEW,RENEW
524,GUE_NGL,GUE_NGL
525,ECR,ECR
526,GREEN_EFA,GREEN_EFA
527,GREEN_EFA,GREEN_EFA
530,ID,ID
531,SD,SD
532,ID,ID
534,ID,ID
537,ID,ID
541,SD,SD
542,SD,SD
543,SD,SD
544,RENEW,RENEW
545,ID,ID
546,RENEW,RENEW
547,ID,ID
548,ID,ID
555,EPP,EPP
556,ECR,ECR
557,ID,ID
558,ID,ID
559,ID,ID
562,ID,ID
563,ID,ID
564,ID,ID
566,SD,SD
569,EPP,EPP
570,ID,ID
571,RENEW,RENEW
573,ID,ID
574,ID,ID
575,ID,ID
576,ID,ID
578,RENEW,RENEW
579,SD,SD
581,EPP,EPP
582,EPP,EPP
585,SD,SD
589,GREEN_EFA,GREEN_EFA
591,EPP,EPP
592,EPP,EPP
593,EPP,EPP
596,EPP,EPP
598,GREEN_EFA,GREEN_EFA
600,EPP,EPP
608,EPP,EPP
609,RENEW,RENEW
612,EPP,EPP
613,GREEN_EFA,GREEN_EFA
615,SD,SD
616,EPP,EPP
617,ID,ID
618,GUE_NGL,GUE_NGL
619,SD,SD
620,ID,ID
621,GUE_NGL,GUE_NGL
623,ID,ID
624,ID,ID
625,ID,ID
626,EPP,EPP
631,SD,SD
633,GUE_NGL,GUE_NGL
635,GUE_NGL,GUE_NGL
636,SD,SD
641,ECR,ECR
643,EPP,EPP
650,SD,SD
651,EPP,EPP
652,SD,SD
654,SD,SD
656,GUE_NGL,GUE_NGL
663,EPP,EPP
666,SD,SD
667,GUE_NGL,GUE_NGL
669,EPP,EPP
674,GUE_NGL,GUE_NGL
684,EPP,EPP
685,RENEW,RENEW
686,ECR,ECR
689,EPP,EPP
690,GREEN_EFA,GREEN_EFA
691,ECR,ECR
692,ECR,ECR
694,EPP,EPP
697,RENEW,RENEW
699,SD,SD
700,RENEW,RENEW
701,GUE_NGL,GUE_NGL
702,ID,ID
703,ID,ID
704,ID,ID
705,ID,ID
706,ID,ID
711,ID,ID
712,EPP,EPP
713,EPP,EPP
714,ID,ID
715,SD,SD
717,GREEN_EFA,GREEN_EFA
720,GUE_NGL,GUE_NGL
721,ID,ID
723,SD,SD
725,SD,SD
732,GUE_NGL,GUE_NGL
734,GUE_NGL,GUE_NGL
735,ECR,ECR
738,ECR,ECR
739,ID,ID
740,GUE_NGL,GUE_NGL
742,ECR,ECR
743,ECR,ECR
744,GREEN_EFA,GREEN_EFA
745,EPP,EPP
746,EPP,EPP
747,GREEN_EFA,GREEN_EFA
750,EPP,EPP
751,EPP,EPP
753,EPP,EPP
758,ECR,ECR
759,EPP,EPP
760,RENEW,RENEW
762,GREEN_EFA,GREEN_EFA
763,GREEN_EFA,GREEN_EFA
767,ECR,ECR
768,ID,ID
769,SD,SD
770,SD,SD
772,SD,SD
774,EPP,EPP
775,SD,SD
776,EPP,EPP
