"from","to","weight"
"Bill NEWTON DUNN (GBR-RENEW)","Richard CORBETT (GBR-SD)",1
"Bill NEWTON DUNN (GBR-RENEW)","Geoffrey VAN ORDEN (GBR-ECR)",1
"Bill NEWTON DUNN (GBR-RENEW)","Claude MORAES (GBR-SD)",1
"Bill NEWTON DUNN (GBR-RENEW)","Neena GILL (GBR-SD)",1
"Bill NEWTON DUNN (GBR-RENEW)","Jill EVANS (GBR-GREEN_EFA)",1
"Bill NEWTON DUNN (GBR-RENEW)","Chris DAVIES (GBR-RENEW)",1
"Bill NEWTON DUNN (GBR-RENEW)","Daniel HANNAN (GBR-ECR)",1
"Bill NEWTON DUNN (GBR-RENEW)","Mairead McGUINNESS (IRL-EPP)",1
"Bill NEWTON DUNN (GBR-RENEW)","Alyn SMITH (GBR-GREEN_EFA)",1
"Bill NEWTON DUNN (GBR-RENEW)","Aileen McLEOD (GBR-GREEN_EFA)",1
"Bill NEWTON DUNN (GBR-RENEW)","Kati PIRI (NLD-SD)",1
"Bill NEWTON DUNN (GBR-RENEW)","Adina-Ioana VĂLEAN (ROU-EPP)",1
"Bill NEWTON DUNN (GBR-RENEW)","Diane DODDS (GBR-NI)",1
"Bill NEWTON DUNN (GBR-RENEW)","Catherine BEARDER (GBR-RENEW)",1
"Bill NEWTON DUNN (GBR-RENEW)","Derk Jan EPPINK (NLD-ECR)",1
"Bill NEWTON DUNN (GBR-RENEW)","Anthea McINTYRE (GBR-ECR)",1
"Bill NEWTON DUNN (GBR-RENEW)","Phil BENNION (GBR-RENEW)",1
"Bill NEWTON DUNN (GBR-RENEW)","Ruža TOMAŠIĆ (HRV-ECR)",1
"Bill NEWTON DUNN (GBR-RENEW)","Dubravka ŠUICA (HRV-EPP)",1
"Bill NEWTON DUNN (GBR-RENEW)","Sven SCHULZE (DEU-EPP)",1
"Bill NEWTON DUNN (GBR-RENEW)","Klaus BUCHNER (DEU-GREEN_EFA)",1
"Bill NEWTON DUNN (GBR-RENEW)","Molly SCOTT CATO (GBR-GREEN_EFA)",1
"Bill NEWTON DUNN (GBR-RENEW)","Seb DANCE (GBR-SD)",1
"Bill NEWTON DUNN (GBR-RENEW)","Jude KIRTON-DARLING (GBR-SD)",1
"Bill NEWTON DUNN (GBR-RENEW)","Theresa GRIFFIN (GBR-SD)",1
"Bill NEWTON DUNN (GBR-RENEW)","Julie WARD (GBR-SD)",1
"Bill NEWTON DUNN (GBR-RENEW)","Miriam DALLI (MLT-SD)",1
"Bill NEWTON DUNN (GBR-RENEW)","Fredrick FEDERLEY (SWE-RENEW)",1
"Bill NEWTON DUNN (GBR-RENEW)","John HOWARTH (GBR-SD)",1
"Bill NEWTON DUNN (GBR-RENEW)","Baroness Nosheena MOBARIK (GBR-ECR)",1
"Bill NEWTON DUNN (GBR-RENEW)","Rory PALMER (GBR-SD)",1
"Bill NEWTON DUNN (GBR-RENEW)","Kris PEETERS (BEL-EPP)",1
"Bill NEWTON DUNN (GBR-RENEW)","Petra DE SUTTER (BEL-GREEN_EFA)",1
"Bill NEWTON DUNN (GBR-RENEW)","Hélène LAPORTE (FRA-ID)",1
